run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.006157148052872214,0.03694605768864505,0.07846749679244402,0.011379859095732664,0.05849181138349023,0.10667642239845065,9.911230661805408
2,0.006187959822341425,0.035400863010695345,0.07866358638112951,0.009999926978713016,0.05295469403263049,0.09999963489289856,9.77363041866726
3,0.010846912109370782,0.05576731617765557,0.10414850987590164,0.014545783443868966,0.07212400161880135,0.12060590136419098,9.957980040033968
4,0.005374069685049212,0.0334321344500492,0.07330804652321062,0.010928981021588074,0.05373630050668864,0.10454176687615374,9.94594193889449
5,0.005343211549565847,0.032101100840754355,0.07309727457002653,0.010638243042476842,0.05333692128796454,0.10314185882791158,9.676336650045899
