run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.007865970338301762,0.04088607911277407,0.08869030577409101,0.008880168128536682,0.05172312701708011,0.09423464399326122,20.275528230001996
2,0.009971621344906546,0.054962959791515414,0.09985800591292891,0.012255657796516935,0.06570400258294437,0.1107052744746922,20.579872277464407
3,0.008387187109987142,0.050882877367084654,0.09158158717770261,0.00895091937345885,0.060494485813550526,0.09460929855705966,20.245448409963863
4,0.007737420430952644,0.03769840870779146,0.08796260814091772,0.008343146838293595,0.048325714476929675,0.09134082788268122,20.323679348415073
5,0.01049508724892456,0.05271672041544484,0.102445533084291,0.010789598967395394,0.060343001425604316,0.10387299440853429,20.466539723899526
6,0.009315845449715336,0.04427667495728679,0.09651862747529792,0.009142763232600723,0.05555598653973128,0.09561779767700532,20.14748920624843
7,0.010153553673030113,0.05127867394259814,0.10076484343772937,0.009610672918745016,0.060100075086911245,0.09803403959209789,20.299863028883312
8,0.008953557998611398,0.05311614287878895,0.0946232423805663,0.01008520449457126,0.058731116274176424,0.10042511884270419,20.168795583633862
