run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.012390089529210382,0.058463582442654156,0.1113107790342444,0.012014758440372926,0.06729679591958304,0.10961185355778327,20.362860499384503
2,0.015176138302799857,0.06041257060906758,0.12319147008945001,0.014225895724523476,0.07189271131426364,0.11927235943219819,20.373780450131743
3,0.011129999254173602,0.06087275352565912,0.10549881162446145,0.015610019091216518,0.07513896117125464,0.12494006199460811,20.307521379964115
4,0.009766904218205846,0.05392298185610669,0.09882764905736575,0.013084803995498048,0.06824328864332933,0.11438882810614875,20.42146132820053
5,0.0131335172117882,0.0638798145398246,0.11460155850505786,0.014898589054694813,0.0776661368862698,0.12205977656334954,20.27348167874928
6,0.013022113250251233,0.06026685838459039,0.11411447432403671,0.013883462628782978,0.07204008473505984,0.1178281062768259,20.196476943100183
7,0.01218424819747234,0.06295434623344541,0.11038228208128487,0.01308083814134003,0.07059673019053445,0.11437149182090803,20.40827886641491
8,0.012429206753276703,0.06388618079934692,0.11148635231846409,0.01388197069705595,0.07285926251025251,0.11782177513964025,20.675216412897377
