run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.020933706540844647,0.08598553036623237,0.14468485249273555,0.06904253463031484,0.15629768155549004,0.2627594615429002,18.76721626208164
2,0.01309823374957673,0.06651174995625414,0.11444751526169858,0.16102799077066615,0.19553955593474276,0.4012829310731596,17.958914228132926
3,0.014787919677472049,0.07127533633226513,0.12160559065056199,0.0641509361875544,0.13648386851273683,0.2532803509701343,17.697410767587524
4,0.01434780662164107,0.0700404996588399,0.11978233017286427,0.07490190369303099,0.14629295421094937,0.2736821216174542,17.801230133969025
5,0.013300934365623986,0.07023361734106767,0.11532967686430057,0.08738968718980604,0.16234584495422286,0.295617467666926,17.91893095843649
