run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.01173474931934385,0.061360886271713364,0.10832704795822624,0.015100230440742038,0.07640554630458822,0.12288299492094924,8.348472374600048
2,0.008092861386039638,0.04402138428413015,0.08996033229173643,0.010604740135652569,0.05621355776417492,0.10297931897061938,7.92431402678291
3,0.006672384479172925,0.037277133899026885,0.0816846648960068,0.01203585326163064,0.054833626429876395,0.10970803644961767,8.252341698668896
4,0.006601437579508608,0.041613231776396864,0.08124923125487778,0.013909440724663774,0.06194534295416198,0.11793829202029243,8.090871997270733
5,0.013926448613396513,0.06700432096865415,0.11801037502438722,0.01583745180260165,0.07551950672096891,0.12584693799454022,8.163616397713001
6,0.007879883359332734,0.045456142132197445,0.08876870709508354,0.0146615618822121,0.06092205887279019,0.12108493664453931,8.242125624767505
7,0.012316193982038941,0.05389795561684693,0.11097834915891902,0.01177809186590189,0.06179474561624509,0.108526917702024,7.95161772898864
8,0.01009118896981535,0.051489187681552674,0.10045491013293154,0.010907331905656282,0.060307747529424444,0.10443817264609852,7.632426718684534
