run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.010310704000139611,0.05257012428685758,0.10154163678087728,0.00917803360139618,0.05849928627184717,0.09580205426501136,18.749276137600344
2,0.008064070573185247,0.04444526284855874,0.08980017022915518,0.010093899128113473,0.055450672473118384,0.10046839865407169,18.602201721421444
3,0.010156771783836796,0.054579706951676986,0.10078081059327115,0.010683031244777907,0.06070221952034241,0.10335875020905538,18.533343646054465
4,0.009485573255097544,0.055249551634189716,0.09739390768984241,0.01128516035937638,0.06471779993960354,0.10623163539820132,18.862282908909645
5,0.007322041841408411,0.04267276492350928,0.08556893035096566,0.009811826287697358,0.0551779837433037,0.0990546631294931,19.326135541747014
6,0.007983752629100404,0.049205378142261814,0.08935184737374155,0.010986147084158397,0.06333285390181426,0.10481482282653727,19.05608663970294
7,0.007391614083420286,0.042466927253340024,0.0859744967035009,0.010840814869476498,0.054892089294305335,0.10411923390746063,19.51722018188642
8,0.0080903342555455,0.04423325802858798,0.08994628539047902,0.008556940479087439,0.05356369587627495,0.09250373224409618,19.133675047770762
