k,test_mse,test_mae,test_rmse,test_run_minutes
1,0.022093183670762597,0.07561939482689436,0.14863775990899014,1.8965185488496596
2,0.021718828564280392,0.07481671491511883,0.1473730930810655,1.8999864893654983
4,0.021505644801823008,0.07448084613194762,0.1466480303373455,1.8961612697845946
10,0.02142990071110543,0.07458179092161527,0.1463895512360955,1.8940142118992904
16,0.0214290838799689,0.07473509082225555,0.14638676128656206,1.8940849299154554
22,0.021426686154889647,0.07478584999023155,0.14637857136510674,1.8914227687637322
28,0.021417698629779065,0.07481390382516756,0.1463478685522241,1.8842907309144115
34,0.021444287659202862,0.07486503453510719,0.146438682250295,1.8827874025523974
