run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.00951334388086332,0.04985152974311948,0.0975363720919705,0.013338588948739901,0.06703493041085685,0.1154928090780543,24.714431234899287
2,0.007101979638439349,0.0400397353011235,0.08427324390599515,0.008130469154162535,0.05115635310481083,0.09016911419195896,24.74965537051515
3,0.007593338462892778,0.04451697702733328,0.08713976395935887,0.010974603947914907,0.05852666736151734,0.10475974392826143,24.835012691630983
4,0.006797970332823098,0.03809170654797209,0.08244980492895722,0.009310706268006022,0.05263774155856878,0.09649200105711365,24.92998218399783
5,0.022711679112091508,0.101023927533971,0.1507039452439501,0.03304844900493725,0.12388726627971555,0.18179232383392113,24.972706034771786
