run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.013523055677228312,0.06859841167338675,0.11628867389917348,0.04862589073068245,0.13013718155514603,0.22051279040156027,38.41981899505481
2,0.019928241380800637,0.09476682759761039,0.1411674232278844,0.03718464640555302,0.13299715515927452,0.19283320877264118,38.4521999899686
3,0.017369759490166826,0.0819096023861729,0.1317943833786813,0.032083446626271994,0.11358075824337154,0.17911852675329817,38.05061610606499
4,0.04459753952416221,0.14797421364232363,0.21118129539370245,0.10248173661727143,0.21329766965816693,0.3201276879891388,37.960068054683504
5,2.1368009333607896,1.0672977552886906,1.4617800564246284,1.8560516334247947,1.0430066740588024,1.3623698592617186,37.991891348649126
