run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse
1,0.0074863287014421895,0.042695865533809614,0.0865235730968283,0.009684257983079718,0.0561494455554324,0.09840862758457572
2,0.006391074376753901,0.040226847822634956,0.07994419539124714,0.00843275201282158,0.05248420612816893,0.0918300169488255
3,0.008097819054564543,0.040631373747859356,0.0899878828207695,0.009681515919847693,0.0519482701272008,0.09839469457164697
4,0.009245729865746309,0.051114339712608224,0.09615471837484789,0.013206570355789102,0.06333212396902202,0.11491984317683827
5,0.006615246622945547,0.03881328787757287,0.08133416639362297,0.008097812595547595,0.04884438810097305,0.08998784693250303
