run,train_mse,train_mae,train_rmse,test_mse,test_mae,test_rmse,run_minutes
1,0.008428209483674206,0.04274239371378508,0.09180528026031076,0.01593574920308891,0.06682176751918414,0.12623687735003947,10.14632130091389
2,0.007038766142649319,0.038785644982365475,0.08389735480126485,0.011521699359150196,0.0557347367652207,0.10733917905010358,10.125448570998076
3,0.007048910221548999,0.03756127120304663,0.08395778833169082,0.0121754918531693,0.05716097934656354,0.11034261123051828,10.19036605944857
4,0.00655697364919901,0.03741060685720808,0.08097514216843964,0.012296687243036957,0.05674622019427447,0.11089042899654125,10.221027711134715
5,0.00648437567428452,0.036302236369893666,0.0805256212288022,0.011150890645736987,0.05519339511191417,0.10559777765529436,10.095074783071565
